"","percentHsEdu","percentBachelorsEdu","perCapitaIncome","ueRate","uninsuredRate","medianAge","y","x"
"26831",79.3,15.1,25597,8.26693227091633,28.4,39.6,28.4,25597
"26832",70.6,7.7,16387,7.95580110497237,35.2,35.3,35.2,16387
"26833",89,23.2,25684,6.05326876513317,16.8,37.2,16.8,25684
"26834",77,6.5,16251,8.4137013634852,30.5,32.1,30.5,16251
"26835",77.9,10.7,16477,7.38171330579157,20.3,36.1,20.3,16477
"26836",95,40.4,41760,3.03110698414804,11.3,39,11.3,41760
"26837",87.4,23.7,27014,4.01775552014569,21.7,35,21.7,27014
"26838",91,19.7,25108,6.21951219512195,15.2,33.5,15.2,25108
"26839",90.5,29.7,32384,5.74921956295525,13.2,35.6,13.2,32384
"26840",70.5,27.7,15959,5.19595869878983,24.5,24.7,24.5,15959
"26841",92.1,42.9,32204,3.4255229538116,11.2,35.4,11.2,32204
"26842",66.8,7.9,17760,7.46863896744254,28,30.4,28,17760
"26843",80.7,23.2,24976,3.74948496085703,14.8,31.3,14.8,24976
"26844",84.8,29.9,33783,5.16805204192266,13.5,41.2,13.5,33783
"26845",88.5,21.5,42911,5.15297906602254,10.8,42.6,10.8,42911
"26846",88.2,16,31984,6.12076095947064,15,50.7,15,31984
"26847",84.1,24.2,27040,5.40336007265022,14,38.9,14,27040
"26848",90.5,30.1,33205,5.25096525096525,6.6,56.8,6.6,33205
"26849",79.1,15.4,27416,6.5684360021303,20.1,42.9,20.1,27416
"26850",85.5,13.5,17802,16.3450624290579,21.8,39.9,21.8,17802
"26851",90.9,47.5,14609,6.83312818709337,11.9,21.7,11.9,14609
"26852",94.9,58.1,38080,2.31707317073171,6.6,30.8,6.6,38080
"26853",75.2,20.9,27918,2.8391167192429,13.9,43.5,13.9,27918
"26854",73.6,22.2,53386,0,0,51.8,0,53386
"26855",89.3,21.9,26190,7.91274593669803,15.2,43.3,15.2,26190
"26856",84.7,18,33507,0,6,46.5,6,33507
"26857",76.2,12.2,22227,3.79783815366637,14.9,37,14.9,22227
"26858",83.9,18.1,31679,9.15966386554622,15,46.4,15,31679
"26859",80.8,17.1,22019,2.72757147551758,16.7,44.2,16.7,22019
"26860",86.2,16.1,47966,11.8466898954704,13.7,53.5,13.7,47966
"26861",58.9,11,22311,0,15.1,59.4,15.1,22311
"26862",74.7,12.5,17706,5.05148005148005,14.4,37.7,14.4,17706
"26863",87.4,23.5,31153,5.30546623794212,11.1,55.5,11.1,31153
"26864",87.5,15.6,25566,2.15716486902928,17.8,40.1,17.8,25566
"26865",84.1,21.1,22155,0,18.4,35.2,18.4,22155
"26866",74.6,5.3,27859,0,15.8,59.6,15.8,27859
"26867",79.8,3.7,19867,5.8252427184466,34.2,26.7,34.2,19867
"26868",87.1,14,26838,6.89096068098906,17.2,44,17.2,26838
"26869",80.3,23.4,51747,16.9838945827233,19.8,51.5,19.8,51747
