Abbreviation,FIPS,name,geographytype,year,residentpopulation,percentchangeinresidentpopulatio,popdensity,geoid2,geoid,geodisplaylabel,giniIndex,total_pop,percentNoWeb,percentWithWeb,meanHouseholdSize,percentHsEdu,percentBachelorsEdu,medianHouseholdIncome,meanHouseholdIncome,perCapitaIncome,uninsuredRate,ueRate,percentArmedForces,total_higherEd,percentEnglishOnly,medianAge,percent65andOlder,percentHigherEd,y,x,geoid2_20,idxpopdens
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46911,8600000US46911,ZCTA5 46911,.3202,523,15.105163,83.938812,2.6300001,88.800003,21.9,62120,68252,27465,5.8000002,3.3227849,0,48,99.417641,35.700001,16.5,3.9933443,5.8000002,27465,46911,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47907,8600000US47907,ZCTA5 47907,,0,,,,,,,,,,,,0,,,100,,,,47907,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46164,8600000US46164,ZCTA5 46164,.4118,1649,17.283201,78.653732,2.5,89.5,24.9,67846,85275,34737,9.8000002,7.0918369,.4185268,141,98.77224,46.700001,21,3.5329492,9.8000002,34737,46164,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47564,8600000US47564,ZCTA5 47564,.36210001,618,33.495144,65.048546,2.27,86.5,18.299999,48895,59292,25906,4.8000002,0,0,58,93.075203,48.5,21.4,4.3186893,4.8000002,25906,47564,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47917,8600000US47917,ZCTA5 47917,.3107,176,27.272728,67.045456,2.8399999,86,14,38958,48160,17498,23.4,6.4676619,0,23,77.605324,35.299999,16.4,5.0997782,23.4,17498,47917,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47470,8600000US47470,ZCTA5 47470,.44369999,727,31.499311,66.850067,2.26,89,17.1,46046,61073,27505,14.2,6.7003794,0,74,98.356514,45.400002,18.4,4.6776233,14.2,27505,47470,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46142,8600000US46142,ZCTA5 46142,.41370001,11257,10.446833,85.875458,2.6400001,93.800003,38.200001,73229,90286,34666,5.3000002,3.6015139,.16979335,1828,95.965263,39.299999,15,6.4527516,5.3000002,34666,46142,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47955,8600000US47955,ZCTA5 47955,.33629999,325,18.461538,78.153847,2.78,82.900002,8.6999998,54063,55832,20742,13.6,5.4466233,0,31,98.263031,34.700001,13.400001,3.8461537,13.6,20742,47955,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47809,8600000US47809,ZCTA5 47809,,0,,,,100,38.900002,,,6315,8.6999998,14.31801,0,2923,95.278824,19.6,0,100,8.6999998,6315,47809,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47338,8600000US47338,ZCTA5 47338,.40830001,1106,26.220615,71.609406,2.4000001,92.300003,12.7,49405,55356,23003,10.8,7.4380164,.2886003,95,98.454224,40.099998,18.5,3.7653587,10.8,23003,47338,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46184,8600000US46184,ZCTA5 46184,.33790001,4738,11.608274,83.93837,2.8,94.900002,26.700001,65422,75180,27552,5.8000002,4.1710668,0,772,97.508171,34.400002,9.3000002,6.3071895,5.8000002,27552,46184,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46776,8600000US46776,ZCTA5 46776,.31979999,618,17.799353,75.728157,2.3399999,75.800003,7.5999999,54271,60042,24566,19.6,7.4120603,0,13,81.299072,45.099998,19.300001,.92790866,19.6,24566,46776,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47983,8600000US47983,ZCTA5 47983,.21160001,132,0,81.060608,3.03,100,21.5,60238,60330,21727,9.5,0,0,11,100,23.700001,6.3000002,2.9177718,9.5,21727,47983,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47231,8600000US47231,ZCTA5 47231,.3678,409,22.24939,75.550125,2.3099999,77.599998,10.8,42309,56947,24180,15.1,2.4774776,0,6,99.891541,48.5,28.5,.65075922,15.1,24180,47231,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46524,8600000US46524,ZCTA5 46524,.37889999,729,37.997257,60.082306,2.8299999,67.699997,12,58365,65013,22650,34.200001,4.4705882,0,92,67.003189,33.5,16,4.8884168,34.200001,22650,46524,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47683,8600000US47683,ZCTA5 47683,.2969,56,7.1428571,91.071426,2.77,94.400002,20,70000,70580,25526,3.9000001,10.843373,0,15,100,33.5,4.4000001,9.6774197,3.9000001,25526,47683,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47380,8600000US47380,ZCTA5 47380,.3813,701,22.96719,71.897293,2.5,79.199997,12,45335,58675,23601,13.1,4.1666665,0,84,97.884842,40.299999,11.9,4.93537,13.1,23601,47380,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46617,8600000US46617,ZCTA5 46617,.50739998,3739,16.795935,79.673706,2.3900001,90.699997,53.299999,55162,82966,34912,5.5,4.5958476,0,1086,92.731483,33,16,12.569445,5.5,34912,46617,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47110,8600000US47110,ZCTA5 47110,.2529,163,7.9754601,92.024536,4.3000002,91.900002,0,61583,62231,15149,22.700001,6.6666665,0,0,97.586723,30.6,11.299999,0,22.700001,15149,47110,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47341,8600000US47341,ZCTA5 47341,.52640003,829,26.779253,70.808205,2.6400001,85.900002,12.1,53365,80002,30131,15.3,4.8103609,0,90,97.054489,37.200001,12.3,4.418262,15.3,30131,47341,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46103,8600000US46103,ZCTA5 46103,.2342,81,11.111111,88.888885,3.6900001,75.900002,20.700001,75750,71716,20025,7.4000001,4.375,0,13,98.620689,31.6,5,4.4827585,7.4000001,20025,46103,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47451,8600000US47451,ZCTA5 47451,.47279999,483,31.46998,65.63147,2.3399999,84.699997,6.0999999,43194,57000,24866,9.5,4.770318,0,29,98.127342,43.099998,17.4,2.7153559,9.5,24866,47451,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46516,8600000US46516,ZCTA5 46516,.4305,11715,26.299616,69.918907,2.8,78.199997,13.5,42280,54900,20068,18.4,10.536422,0,1196,85.063438,33.599998,10.3,3.9313655,18.4,20068,46516,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46933,8600000US46933,ZCTA5 46933,.352,2590,19.84556,72.23938,2.3699999,87.599998,10.4,44053,48428,20162,10.1,5.8032556,0,226,97.244095,41.5,17.5,3.8685381,10.1,20162,46933,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46120,8600000US46120,ZCTA5 46120,.34549999,2131,15.908025,83.012672,2.48,89.300003,15,58453,63205,24854,9.1000004,6.7185578,0,152,99.635628,43.099998,19.799999,3.0769231,9.1000004,24854,46120,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47042,8600000US47042,ZCTA5 47042,.40180001,1789,21.688093,74.958076,2.46,87.699997,17.9,53931,63094,25379,6.3000002,6.7303319,0,157,98.838287,41.799999,15.9,3.6477695,6.3000002,25379,47042,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46214,8600000US46214,ZCTA5 46214,.40270001,10016,17.292332,79.932106,2.3399999,87.900002,21.1,45089,56670,24878,10.9,5.3789549,0,1650,82.547722,34.099998,11.8,7.3931355,10.9,24878,46214,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47952,8600000US47952,ZCTA5 47952,.38150001,1218,30.45977,68.801315,2.4400001,87.5,14.1,39595,50455,20395,14.7,6.2646828,0,43,99.083542,46.900002,19.6,1.5156856,14.7,20395,47952,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47648,8600000US47648,ZCTA5 47648,.40099999,1718,16.589058,81.199066,2.49,95.599998,21.4,59071,79274,32202,7.0999999,2.1103897,0,171,98.699387,43.099998,16.6,4.1963191,7.0999999,32202,47648,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46543,8600000US46543,ZCTA5 46543,.40540001,904,47.455753,50.884956,3.73,54.400002,7,71029,87687,24141,48.599998,2.9840848,0,41,46.177063,23.6,7.0999999,1.3749162,48.599998,24141,46543,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46738,8600000US46738,ZCTA5 46738,.42179999,3167,24.786865,71.676666,2.6199999,87.599998,13.4,42876,55140,21408,11.4,6.420382,0,392,98.093788,36.599998,13.8,4.9815731,11.4,21408,46738,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46940,8600000US46940,ZCTA5 46940,.36289999,1032,21.22093,69.961243,2.47,90.800003,13.9,61912,66267,26879,10.3,6.4589667,0,66,97.685555,44.400002,19.6,2.6336792,10.3,26879,46940,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46259,8600000US46259,ZCTA5 46259,.31900001,3636,5.0605059,90.154015,3.1800001,95.599998,40.700001,103716,106059,34565,2.5,3.5805626,0,649,97.152664,35.900002,10.8,6.0192914,2.5,34565,46259,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46556,8600000US46556,ZCTA5 46556,.46830001,239,2.0920503,46.443516,2.3800001,95.699997,76,22679,18729,5669,2.7,5.4402514,0,6944,84.739777,20.6,2.5999999,94.360649,2.7,5669,46556,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46951,8600000US46951,ZCTA5 46951,.38640001,733,14.051842,79.263298,2.6199999,94.199997,12.5,50139,59900,24035,9,6.0335197,0,46,92.833694,42.099998,21.6,2.5164113,9,24035,46951,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47043,8600000US47043,ZCTA5 47043,.43599999,2432,31.167763,66.570724,2.3800001,82.5,9,41632,55700,23148,11.5,5.7835822,0,242,95.799675,44.400002,20.5,4.343924,11.5,23148,47043,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47611,8600000US47611,ZCTA5 47611,.39739999,488,23.360655,73.97541,2.6700001,91.699997,18.700001,70179,83090,32113,8.5,5.8992805,0,11,99.27478,47.299999,13.9,.88638192,8.5,32113,47611,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46539,8600000US46539,ZCTA5 46539,.4059,943,20.360552,71.155884,2.5999999,77.199997,11.5,48281,58132,22750,5.3000002,6.0230293,0,74,97.944595,37.200001,15.2,3.3065238,5.3000002,22750,46539,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46052,8600000US46052,ZCTA5 46052,.44499999,9411,20.720434,75.241737,2.28,89.5,28,54402,72182,31261,9.6000004,2.5252111,.061783869,1039,97.294312,42.599998,16.9,4.9844089,9.6000004,31261,46052,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46217,8600000US46217,ZCTA5 46217,.3892,12236,12.373324,82.428902,2.77,87.400002,32.700001,57706,72820,27106,5.9000001,4.7429028,0,1897,86.657974,34.900002,12,6.0333314,5.9000001,27106,46217,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46368,8600000US46368,ZCTA5 46368,.40810001,15131,21.862402,76.254051,2.55,88.800003,17.5,55583,65296,26477,10.2,6.837738,.019173004,2073,89.62558,39.200001,14.8,5.6654825,10.2,26477,46368,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46571,8600000US46571,ZCTA5 46571,.44600001,1359,57.689476,41.721855,3.8900001,41.099998,4.5,57566,80131,21081,62,2.1432052,.40024629,33,31.300127,23,6.9000001,.69649643,62,21081,46571,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46534,8600000US46534,ZCTA5 46534,.4355,4292,28.285181,67.427773,2.7,82.199997,9.6999998,44363,57681,22120,8.3999996,8.5917931,.12087912,334,96.23896,39.900002,15.9,3.0416174,8.3999996,22120,46534,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46051,8600000US46051,ZCTA5 46051,.41929999,1222,16.284779,80.196396,2.3399999,91.400002,27.4,55250,69384,29606,7.6999998,5.8116231,0,70,98.57975,42.799999,15.7,2.5491624,7.6999998,29606,46051,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47640,8600000US47640,ZCTA5 47640,.4357,387,35.917313,62.273903,2.6199999,92.599998,9,47176,64078,24909,11.2,2.7972028,0,30,96.897621,50.299999,24.299999,3.1023786,11.2,24909,47640,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46167,8600000US46167,ZCTA5 46167,.34799999,2218,4.5536518,92.110008,2.8199999,95.400002,33.200001,72353,87166,31416,4.1999998,1.8775008,0,280,97.847092,40.400002,14.1,4.7465672,4.1999998,31416,46167,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47959,8600000US47959,ZCTA5 47959,.3725,1000,24.6,72.599998,2.8199999,75.099998,10.1,43920,53429,19548,17.299999,5.7692308,0,78,76.344879,37.599998,16.6,2.8739867,17.299999,19548,47959,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47120,8600000US47120,ZCTA5 47120,.40470001,363,60.055096,39.39394,2.95,82.099998,2.5,,47392,16347,9.1999998,8.333333,0,37,100,29.799999,7.7999997,3.9194915,9.1999998,16347,47120,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46310,8600000US46310,ZCTA5 46310,.3391,5020,17.788845,78.84462,2.76,88,10.5,55217,61928,22983,8.8999996,7.0192156,.045875769,484,95.518341,39,17.1,3.7528107,8.8999996,22983,46310,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46923,8600000US46923,ZCTA5 46923,.38190001,3194,24.827803,72.010017,2.52,86.699997,17.4,52353,65342,26405,10.1,4.9029369,0,252,93.119621,42.5,20.4,3.2838154,10.1,26405,46923,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46408,8600000US46408,ZCTA5 46408,.43700001,6338,31.571474,65.083626,2.51,84.300003,9.6999998,33606,43059,17701,13,16.883844,0,788,92.149368,38.799999,15.7,5.2829175,13,17701,46408,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46218,8600000US46218,ZCTA5 46218,.52640003,11496,52.296452,43.389004,2.3,77.400002,7.5999999,23771,35356,16494,21.799999,17.310797,.056098361,1162,93.98069,38.5,14.9,4.6167903,21.799999,16494,46218,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47165,8600000US47165,ZCTA5 47165,.3985,2284,26.882662,69.877411,2.75,90.800003,15.6,55982,65876,24706,12,8.4666662,0,145,99.048256,43,12.9,2.4211054,12,24706,47165,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47038,8600000US47038,ZCTA5 47038,.4386,653,32.771824,62.327717,2.5899999,79,10,36620,45183,16868,23.4,9.9710979,0,57,97.703415,36.299999,11.8,3.7401574,23.4,16868,47038,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47040,8600000US47040,ZCTA5 47040,.36019999,2223,21.907333,73.504272,2.3199999,85.699997,15.2,51607,59484,25794,7,3.0696576,0,190,98.513847,46,19.4,3.8680782,7,25794,47040,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46301,8600000US46301,ZCTA5 46301,.55549997,329,18.844984,79.331306,1.91,97.5,69.599998,75417,133712,69895,1.9,2.811245,0,13,85.031845,64.099998,44.900002,2.0700636,1.9,69895,46301,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47339,8600000US47339,ZCTA5 47339,.46599999,233,19.313305,62.660946,2.3800001,79.400002,18.4,47679,63094,26644,29.200001,5.3691278,0,6,80.996307,39.700001,12.099999,1.1070111,29.200001,26644,47339,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47170,8600000US47170,ZCTA5 47170,.38710001,5395,23.317886,70.064873,2.6099999,88.900002,15.2,51402,62444,24289,9.1999998,4.6469522,.40212184,732,96.877785,41.599998,16.9,5.4286561,9.1999998,24289,47170,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46349,8600000US46349,ZCTA5 46349,.3919,1232,13.555195,82.467529,2.51,90.099998,10.9,61159,66554,26969,10.9,6.5061808,0,155,98.826218,47.799999,17.9,5.0537987,10.9,26969,46349,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47304,8600000US47304,ZCTA5 47304,.4585,13396,11.018214,83.853386,2.3,94.900002,40.799999,51964,68894,29234,5.8000002,5.8031459,0,4995,94.100471,35.799999,18.799999,16.573761,5.8000002,29234,47304,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47465,8600000US47465,ZCTA5 47465,.28330001,283,26.855124,71.37809,2.1600001,86.900002,10.7,49550,45782,20559,9,13.220339,0,7,98.327759,50.299999,31.4,1.1705686,9,20559,47465,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46767,8600000US46767,ZCTA5 46767,.42739999,2747,24.57226,72.806702,2.96,66.900002,7.8000002,52610,70529,23877,17.200001,5.8028431,0,150,53.833885,34.200001,10,1.9933555,17.200001,23877,46767,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46356,8600000US46356,ZCTA5 46356,.3739,6345,12.230103,85.736801,2.8299999,92.699997,18.299999,71620,81257,29313,10.5,4.628633,0,693,95.958092,39.099998,14.7,4.1252456,10.5,29313,46356,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47616,8600000US47616,ZCTA5 47616,.3529,99,18.181818,81.818184,2.1400001,87,1.6,28750,34756,16003,10.4,8.8888893,0,3,100,58.299999,37.299999,1.4492754,10.4,16003,47616,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46235,8600000US46235,ZCTA5 46235,.46070001,11904,30.93078,64.163307,2.74,82.699997,15.3,36328,45772,17611,16.200001,12.83403,.066761613,1840,87.015724,29.1,6.7000003,6.2476654,16.200001,17611,46235,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47802,8600000US47802,ZCTA5 47802,.4826,13395,21.478163,75.849197,2.3800001,88.800003,28.200001,42001,61958,25193,9.1000004,7.4365811,.10691498,2655,92.64386,38.200001,15.1,8.0240574,9.1000004,25193,47802,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47142,8600000US47142,ZCTA5 47142,.30090001,384,27.083334,67.708336,2.5799999,90,4.1999998,52868,56015,22224,7.5,8.0279236,0,31,100,41.599998,11.7,3.304904,7.5,22224,47142,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46989,8600000US46989,ZCTA5 46989,.4307,1354,15.361891,72.673561,2.5899999,96.400002,41.799999,61800,76975,22597,4.8000002,6.6399126,.21111894,1767,95.577652,23.4,11.9,37.388912,4.8000002,22597,46989,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46932,8600000US46932,ZCTA5 46932,.4411,1413,17.62208,74.239204,2.3599999,95,16.4,51927,70804,30120,3.8,2.4639423,0,228,97.387474,47.400002,19.200001,7.1765819,3.8,30120,46932,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46773,8600000US46773,ZCTA5 46773,.352,1248,20.833334,76.842949,2.6199999,91.800003,16.299999,58281,67186,25740,8.6000004,3.2712915,0,119,97.993629,41.799999,17.299999,3.789809,8.6000004,25740,46773,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46056,8600000US46056,ZCTA5 46056,.34419999,931,13.856069,79.162193,2.47,95.699997,18.6,66131,75854,30610,6.1999998,3.3442087,.64343166,31,99.41362,49.099998,16.5,1.398286,6.1999998,30610,46056,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47620,8600000US47620,ZCTA5 47620,.4531,5170,19.535784,76.46035,2.4400001,93.599998,21.200001,58238,76277,31479,4.9000001,3.9811912,0,686,99.00853,42.299999,16.1,5.5749693,4.9000001,31479,47620,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46970,8600000US46970,ZCTA5 46970,.4637,8687,23.091976,71.175316,2.46,84.900002,12.7,42829,58060,22439,9.8000002,10.14819,.1954776,1216,96.622635,38.900002,16.299999,5.5199962,9.8000002,22439,46970,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46741,8600000US46741,ZCTA5 46741,.38240001,1505,32.491695,63.388706,3.23,74.599998,19.6,51967,65817,20661,26.799999,7.2556763,0,185,77.011497,33,13.400001,4.0893016,26.799999,20661,46741,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46958,8600000US46958,ZCTA5 46958,.3053,273,19.78022,80.21978,2.05,78.400002,4.6999998,49570,54285,27753,11.2,0,0,21,100,52.799999,21.799999,3.7433155,11.2,27753,46958,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47346,8600000US47346,ZCTA5 47346,.39680001,1471,17.403128,76.070702,2.6400001,94.199997,19.799999,50082,65264,25038,10.8,4.6097431,0,196,96.785614,41.599998,19.700001,5.3391447,10.8,25038,47346,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47850,8600000US47850,ZCTA5 47850,.40759999,961,27.159208,69.927162,2.52,94.599998,14.4,54781,61772,24308,5.0999999,4.9912434,.58981234,120,100,38.700001,19,5.4005399,5.0999999,24308,47850,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47023,8600000US47023,ZCTA5 47023,.37149999,544,30.330883,67.463234,2.6300001,87,21.1,52857,63779,24016,7.3000002,4.0123458,1.6245488,55,99.261444,40.099998,13.6,4.0620384,7.3000002,24016,47023,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47374,8600000US47374,ZCTA5 47374,.4826,18343,28.937469,64.907593,2.3599999,84.400002,18.6,39038,56869,23353,12.4,6.7907996,.018854203,3369,95.63826,41.099998,19.1,7.8121738,12.4,23353,47374,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47358,8600000US47358,ZCTA5 47358,.51800001,377,27.320955,66.047745,2.3900001,89,22.4,45917,76017,32154,18,10.31175,0,19,95.294121,39.200001,19.700001,2.2352941,18,32154,47358,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47977,8600000US47977,ZCTA5 47977,.3802,872,23.738533,76.032112,2.55,89,19.700001,56471,69349,27704,11.4,2.0050125,0,70,99.854301,37.900002,17.9,3.3997085,11.4,27704,47977,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46048,8600000US46048,ZCTA5 46048,.3427,849,14.252061,81.625443,2.8,87.699997,13.3,45096,54793,19772,7.4000001,4.699739,0,131,96.923782,30.9,9.3999996,6.0146923,7.4000001,19772,46048,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46825,8600000US46825,ZCTA5 46825,.40380001,12161,12.720993,84.376282,2.3599999,90.900002,31.9,52148,65018,28045,9.1000004,4.6635575,.038265307,2551,86.781418,35.099998,15.599999,9.3824711,9.1000004,28045,46825,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46205,8600000US46205,ZCTA5 46205,.5388,11403,22.555468,73.857758,2.47,89.699997,39.5,41773,68389,28781,12,10.311028,0,2167,94.939575,32.799999,10.1,8.3138304,12,28781,46205,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46530,8600000US46530,ZCTA5 46530,.44569999,10580,5.6994328,92.722115,2.9300001,96.199997,51.200001,97098,127641,44125,4.6999998,3.4679122,.1319205,1449,90.79306,41,13.3,4.9984479,4.6999998,44125,46530,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47872,8600000US47872,ZCTA5 47872,.4621,2883,34.894207,62.434963,2.5,84.099998,11,45768,62390,21314,14.5,8.0168772,0,323,92.83696,41,17.5,3.9685464,14.5,21314,47872,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46746,8600000US46746,ZCTA5 46746,.40189999,1786,27.883539,66.629341,2.51,83.599998,14.5,53375,62436,23748,15.7,2.4866786,0,211,80.389908,39.700001,16.200001,4.8394494,15.7,23748,46746,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46797,8600000US46797,ZCTA5 46797,.32839999,1454,23.590096,74.896835,2.6099999,88.699997,16.9,65644,69543,26985,11.2,5.1773729,0,178,93.900711,39.099998,12.4,5.0496454,11.2,26985,46797,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46033,8600000US46033,ZCTA5 46033,.3876,13415,2.0723071,96.705177,2.8499999,99,71.900002,124712,151604,53712,2.4000001,3.2141604,0,1773,91.914246,40.599998,14,4.936656,2.4000001,53712,46033,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47330,8600000US47330,ZCTA5 47330,.46799999,2176,20.772058,72.196693,2.5799999,90.099998,20,52821,70480,27580,12.7,7.6589594,.15611061,297,97.755699,41.299999,16.200001,5.4635763,12.7,27580,47330,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47102,8600000US47102,ZCTA5 47102,.50129998,2756,31.277214,63.534107,2.6300001,76.199997,8.8999996,40724,58995,22906,9.3000002,8.695652,0,240,98.039787,42.200001,16.4,3.5108252,9.3000002,22906,47102,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46268,8600000US46268,ZCTA5 46268,.4456,10830,15.743305,79.759926,2.3299999,91.099998,39.599998,47813,61541,27447,12.2,6.9329262,.045105997,2118,82.30616,34.700001,13.9,8.959012,12.2,27447,46268,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46544,8600000US46544,ZCTA5 46544,.4064,12620,21.133121,74.809822,2.48,87.699997,20.799999,44381,55794,22931,12.5,5.7185297,.12095311,1487,96.357765,37.299999,15.3,5.056963,12.5,22931,46544,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47920,8600000US47920,ZCTA5 47920,.36719999,907,9.1510477,88.754135,2.6800001,99.099998,27.299999,76142,88118,33567,3.5999999,6.5888238,0,112,98.70298,41.5,19.800001,4.8421965,3.5999999,33567,47920,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47424,8600000US47424,ZCTA5 47424,.4041,3578,25.4891,71.716042,2.4000001,88.900002,16.9,52573,63014,27239,8.1000004,4.7138896,.21008404,326,98.299156,46.200001,20.4,3.9324486,8.1000004,27239,47424,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47203,8600000US47203,ZCTA5 47203,.4497,10394,14.306331,82.287857,2.5599999,91.599998,34.900002,60791,81087,32267,11,5.3257108,.051669877,1170,89.575256,40.700001,19.199999,4.6270661,11,32267,47203,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,47581,8600000US47581,ZCTA5 47581,.44100001,1687,28.808537,69.176056,2.3699999,85,12.1,48176,61968,25703,9.1000004,3.8316245,0,253,99.493736,46.799999,19.799999,6.7412739,9.1000004,25703,47581,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46385,8600000US46385,ZCTA5 46385,.433,14566,12.433064,85.95359,2.73,93.900002,30.5,76298,94494,35021,7.3000002,5.6222706,0,1888,95.63868,40,14.599999,5.0086217,7.3000002,35021,46385,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46165,8600000US46165,ZCTA5 46165,.37630001,581,22.71945,73.321861,2.4400001,93.5,16.6,61518,78504,32633,8.6999998,6.1068702,0,33,96.464645,49,17.1,2.3809524,8.6999998,32633,46165,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46784,8600000US46784,ZCTA5 46784,.4515,874,26.887873,70.022881,2.3900001,81.099998,14.3,63750,77931,32855,10.4,6.1205273,0,80,89.87915,46.900002,21.1,4.0281973,10.4,32855,46784,0
